2023/05/23
Julia is now 1.9.0
previous version was 1.7.2
2023/11/29
gurobi is now 11.0.0
previous version was 10.0.2
solving instance transportation 10 9 log
presolving:
(round 1, fast)       100 del vars, 100 del conss, 0 add conss, 100 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present
presolving (2 rounds: 2 fast, 1 medium, 1 exhaustive):
 100 deleted vars, 100 deleted constraints, 0 added constraints, 100 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 200 variables (0 bin, 0 int, 0 impl, 200 cont) and 120 constraints
     20 constraints of type <linear>
    100 constraints of type <nonlinear>
Presolving Time: 0.01

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  5.8s|  4400 |  3911 | 37085 |   8.3 |    18M |  41 | 400 | 122 | 247 |8137 |  1 |   2 |   0 | 4.651636e+02 | 5.203296e+02 |  11.86%|  72.66%
  6.0s|  4500 |  3993 | 37928 |   8.3 |    18M |  41 | 400 | 122 | 245 |8319 |  2 |   2 |   0 | 4.653861e+02 | 5.203296e+02 |  11.81%|  72.71%
  6.1s|  4600 |  4071 | 38760 |   8.3 |    18M |  42 | 400 | 122 | 238 |8501 |  2 |   2 |   0 | 4.653861e+02 | 5.203296e+02 |  11.81%|  72.71%
  7.9s|  4700 |  4149 | 39579 |   8.3 |    18M |  42 | 400 | 122 | 244 |8673 |  3 |   2 |   0 | 4.655564e+02 | 5.203296e+02 |  11.77%|  72.76%
  8.1s|  4800 |  4217 | 40476 |   8.3 |    18M |  42 | 400 | 122 | 243 |8867 |  2 |   2 |   0 | 4.658692e+02 | 5.203296e+02 |  11.69%|  72.88%
  8.2s|  4900 |  4297 | 41297 |   8.3 |    18M |  42 | 400 | 122 | 241 |9063 |  2 |   2 |   0 | 4.659777e+02 | 5.203296e+02 |  11.66%|  72.89%
  8.3s|  5000 |  4379 | 42116 |   8.3 |    18M |  42 | 400 | 122 | 243 |9245 |  3 |   2 |   0 | 4.659932e+02 | 5.203296e+02 |  11.66%|  72.95%
  8.4s|  5100 |  4447 | 42974 |   8.3 |    19M |  42 | 400 | 122 | 238 |9450 |  3 |   2 |   0 | 4.660172e+02 | 5.203296e+02 |  11.65%|  73.05%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  8.6s|  5200 |  4517 | 43876 |   8.3 |    19M |  42 | 400 | 122 | 254 |9643 |  1 |   2 |   0 | 4.660916e+02 | 5.203296e+02 |  11.64%|  73.07%
  8.7s|  5300 |  4595 | 44747 |   8.4 |    20M |  42 | 400 | 122 | 243 |9838 |  2 |   2 |   0 | 4.662751e+02 | 5.203296e+02 |  11.59%|  73.12%
  8.8s|  5400 |  4673 | 45599 |   8.4 |    20M |  43 | 400 | 122 | 237 |  10k|  5 |   2 |   0 | 4.663594e+02 | 5.203296e+02 |  11.57%|  73.15%
  8.9s|  5500 |  4731 | 46571 |   8.4 |    20M |  43 | 400 | 122 | 237 |  10k|  3 |   2 |   0 | 4.664909e+02 | 5.203296e+02 |  11.54%|  73.23%
  9.0s|  5600 |  4799 | 47424 |   8.4 |    20M |  43 | 400 | 122 | 237 |  10k|  5 |   2 |   0 | 4.664909e+02 | 5.203296e+02 |  11.54%|  73.34%
  9.1s|  5700 |  4885 | 48266 |   8.4 |    20M |  43 | 400 | 122 | 236 |  10k|  3 |   2 |   0 | 4.667749e+02 | 5.203296e+02 |  11.47%|  73.39%
  9.2s|  5800 |  4957 | 49141 |   8.4 |    20M |  43 | 400 | 122 | 246 |  10k|  6 |   2 |   0 | 4.667821e+02 | 5.203296e+02 |  11.47%|  73.42%
  9.3s|  5900 |  5025 | 50059 |   8.4 |    21M |  43 | 400 | 122 | 243 |  11k|  6 |   2 |   0 | 4.667821e+02 | 5.203296e+02 |  11.47%|  73.52%
  9.5s|  6000 |  5091 | 50894 |   8.4 |    21M |  43 | 400 | 122 | 239 |  11k|  2 |   2 |   0 | 4.668051e+02 | 5.203296e+02 |  11.47%|  73.53%
  9.6s|  6100 |  5163 | 51791 |   8.4 |    22M |  43 | 400 | 122 | 238 |  11k|  5 |   2 |   0 | 4.669116e+02 | 5.203296e+02 |  11.44%|  73.73%
t 9.6s|  6119 |  5162 | 51912 |   8.4 |  trysol|  43 | 400 | 122 |   0 |  11k|  0 |   2 |   0 | 4.669116e+02 | 5.201099e+02 |  11.39%|  73.74%
  9.7s|  6200 |  5219 | 52591 |   8.4 |    22M |  43 | 400 | 122 | 239 |  11k|  2 |   2 |   0 | 4.669877e+02 | 5.201099e+02 |  11.38%|  73.75%
  9.8s|  6300 |  5293 | 53416 |   8.4 |    22M |  43 | 400 | 122 | 239 |  11k|  5 |   2 |   0 | 4.669877e+02 | 5.201099e+02 |  11.38%|  73.77%
  9.9s|  6400 |  5367 | 54246 |   8.4 |    22M |  44 | 400 | 122 | 247 |  11k|  0 |   2 |   0 | 4.669967e+02 | 5.201099e+02 |  11.37%|  73.78%
 10.0s|  6500 |  5443 | 55014 |   8.4 |    22M |  44 | 400 | 122 | 237 |  12k|  3 |   2 |   0 | 4.670006e+02 | 5.201099e+02 |  11.37%|  73.79%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 10.1s|  6600 |  5515 | 55830 |   8.4 |    22M |  47 | 400 | 122 | 242 |  12k|  5 |   2 |   0 | 4.670685e+02 | 5.201099e+02 |  11.36%|  73.81%
t10.1s|  6617 |  5332 | 55940 |   8.4 |  trysol|  47 | 400 | 122 |   0 |  12k|  0 |   2 |   0 | 4.670685e+02 | 5.173420e+02 |  10.76%|  73.81%
 10.2s|  6700 |  5379 | 56610 |   8.4 |    23M |  47 | 400 | 122 | 240 |  12k|  0 |   2 |   0 | 4.671801e+02 | 5.173420e+02 |  10.74%|  73.83%
 10.3s|  6800 |  5437 | 57429 |   8.4 |    23M |  47 | 400 | 122 | 246 |  12k|  0 |   2 |   0 | 4.672478e+02 | 5.173420e+02 |  10.72%|  73.85%
 10.4s|  6900 |  5501 | 58232 |   8.4 |    23M |  47 | 400 | 122 | 245 |  12k|  2 |   2 |   0 | 4.672914e+02 | 5.173420e+02 |  10.71%|  73.86%
 10.6s|  7000 |  5565 | 59063 |   8.4 |    23M |  47 | 400 | 122 | 243 |  12k|  3 |   2 |   0 | 4.672920e+02 | 5.173420e+02 |  10.71%|  73.88%
 10.7s|  7100 |  5625 | 59822 |   8.4 |    23M |  47 | 400 | 122 | 235 |  13k|  2 |   2 |   0 | 4.672952e+02 | 5.173420e+02 |  10.71%|  73.90%
 10.8s|  7200 |  5693 | 60637 |   8.4 |    23M |  47 | 400 | 122 | 239 |  13k|  2 |   2 |   0 | 4.674399e+02 | 5.173420e+02 |  10.68%|  73.92%
 10.9s|  7300 |  5761 | 61442 |   8.4 |    23M |  47 | 400 | 122 | 250 |  13k|  2 |   2 |   0 | 4.674590e+02 | 5.173420e+02 |  10.67%|  73.92%
 11.0s|  7400 |  5825 | 62234 |   8.3 |    24M |  47 | 400 | 122 | 248 |  13k|  7 |   2 |   0 | 4.678252e+02 | 5.173420e+02 |  10.58%|  73.94%
 11.1s|  7500 |  5885 | 63065 |   8.3 |    24M |  47 | 400 | 122 | 242 |  13k|  2 |   2 |   0 | 4.679374e+02 | 5.173420e+02 |  10.56%|  73.95%
 11.2s|  7600 |  5947 | 63847 |   8.3 |    24M |  47 | 400 | 122 | 236 |  13k|  2 |   2 |   0 | 4.681239e+02 | 5.173420e+02 |  10.51%|  73.96%
 11.3s|  7700 |  6009 | 64586 |   8.3 |    25M |  47 | 400 | 122 | 240 |  14k|  2 |   2 |   0 | 4.681408e+02 | 5.173420e+02 |  10.51%|  73.98%
 11.4s|  7800 |  6069 | 65441 |   8.3 |    25M |  47 | 400 | 122 | 241 |  14k|  2 |   2 |   0 | 4.681839e+02 | 5.173420e+02 |  10.50%|  74.00%
 11.5s|  7900 |  6135 | 66297 |   8.3 |    25M |  47 | 400 | 122 | 237 |  14k|  2 |   2 |   0 | 4.682959e+02 | 5.173420e+02 |  10.47%|  74.01%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 11.6s|  8000 |  6197 | 67117 |   8.3 |    25M |  47 | 400 | 122 | 234 |  14k|  5 |   2 |   0 | 4.684048e+02 | 5.173420e+02 |  10.45%|  74.02%
 11.7s|  8100 |  6253 | 67921 |   8.3 |    25M |  47 | 400 | 122 | 249 |  14k|  7 |   2 |   0 | 4.684278e+02 | 5.173420e+02 |  10.44%|  74.03%
 11.8s|  8200 |  6313 | 68678 |   8.3 |    25M |  47 | 400 | 122 | 239 |  14k|  2 |   2 |   0 | 4.685131e+02 | 5.173420e+02 |  10.42%|  74.05%
 11.9s|  8300 |  6383 | 69533 |   8.3 |    25M |  47 | 400 | 122 | 237 |  15k|  3 |   2 |   0 | 4.685884e+02 | 5.173420e+02 |  10.40%|  74.06%
 12.0s|  8400 |  6445 | 70267 |   8.3 |    25M |  47 | 400 | 122 | 254 |  15k|  1 |   2 |   0 | 4.688496e+02 | 5.173420e+02 |  10.34%|  74.08%
 12.1s|  8500 |  6497 | 71111 |   8.3 |    27M |  47 | 400 | 122 | 238 |  15k|  5 |   2 |   0 | 4.688554e+02 | 5.173420e+02 |  10.34%|  74.09%
 12.2s|  8600 |  6561 | 71921 |   8.3 |    27M |  47 | 400 | 122 | 240 |  15k|  7 |   2 |   0 | 4.688554e+02 | 5.173420e+02 |  10.34%|  74.10%
