solving instance knapsack 200 8 sincos
feasible solution found by trivial heuristic after 0.0 seconds, objective value 0.000000e+00
presolving:
(round 1, fast)       200 del vars, 400 del conss, 0 add conss, 200 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, fast)       200 del vars, 400 del conss, 0 add conss, 400 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present (symcode time: 0.00)
presolving (3 rounds: 3 fast, 1 medium, 1 exhaustive):
 200 deleted vars, 400 deleted constraints, 0 added constraints, 400 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 400 variables (0 bin, 0 int, 0 impl, 400 cont) and 201 constraints
      1 constraints of type <linear>
    200 constraints of type <nonlinear>
Presolving Time: 0.03

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  103s|  4300 |  4301 |107776 |  24.7 |    54M |  29 |1400 | 201 |1053 |  72k|  4 |   0 |   0 |-7.272189e+03 |-6.494132e+03 |  11.98%| unknown
  106s|  4400 |  4401 |110861 |  24.9 |    54M |  29 |1400 | 201 |1203 |  74k|  9 |   0 |   0 |-7.272122e+03 |-6.494132e+03 |  11.98%| unknown
  108s|  4500 |  4501 |113616 |  24.9 |    54M |  29 |1400 | 201 |1154 |  76k|  6 |   0 |   0 |-7.272122e+03 |-6.494132e+03 |  11.98%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  111s|  4600 |  4601 |116273 |  24.9 |    54M |  29 |1400 | 201 |1155 |  78k|  7 |   0 |   0 |-7.270045e+03 |-6.494132e+03 |  11.95%| unknown
  113s|  4700 |  4701 |118845 |  25.0 |    56M |  29 |1400 | 201 |1159 |  80k|  7 |   0 |   0 |-7.270045e+03 |-6.494132e+03 |  11.95%| unknown
  116s|  4800 |  4801 |120890 |  24.9 |    56M |  29 |1400 | 201 |1102 |  81k|  7 |   0 |   0 |-7.268817e+03 |-6.494132e+03 |  11.93%| unknown
  118s|  4900 |  4901 |123077 |  24.8 |    57M |  29 |1400 | 201 |1149 |  83k|  3 |   0 |   0 |-7.268424e+03 |-6.494132e+03 |  11.92%| unknown
  121s|  5000 |  5001 |126183 |  24.9 |    57M |  29 |1400 | 201 |1108 |  85k|  9 |   0 |   0 |-7.267641e+03 |-6.494132e+03 |  11.91%| unknown
  123s|  5100 |  5101 |128489 |  24.9 |    58M |  29 |1400 | 201 |1134 |  87k|  7 |   0 |   0 |-7.267239e+03 |-6.494132e+03 |  11.90%| unknown
  125s|  5200 |  5201 |131109 |  24.9 |    60M |  29 |1400 | 201 |1134 |  89k|  3 |   0 |   0 |-7.267160e+03 |-6.494132e+03 |  11.90%| unknown
  128s|  5300 |  5301 |133466 |  24.9 |    62M |  29 |1400 | 201 |1086 |  90k|  3 |   0 |   0 |-7.267160e+03 |-6.494132e+03 |  11.90%| unknown
  130s|  5400 |  5401 |137021 |  25.1 |    62M |  29 |1400 | 201 |1191 |  93k|  7 |   0 |   0 |-7.266670e+03 |-6.494132e+03 |  11.90%| unknown
  133s|  5500 |  5501 |140256 |  25.2 |    63M |  29 |1400 | 201 |1142 |  95k|  7 |   0 |   0 |-7.266264e+03 |-6.494132e+03 |  11.89%| unknown
  135s|  5600 |  5601 |142638 |  25.2 |    63M |  29 |1400 | 201 |1169 |  96k|  7 |   0 |   0 |-7.265880e+03 |-6.494132e+03 |  11.88%| unknown
  138s|  5700 |  5701 |145572 |  25.3 |    63M |  29 |1400 | 201 |1195 |  98k|  3 |   0 |   0 |-7.265880e+03 |-6.494132e+03 |  11.88%| unknown
  140s|  5800 |  5801 |148052 |  25.3 |    63M |  29 |1400 | 201 |1112 | 100k|  3 |   0 |   0 |-7.265672e+03 |-6.494132e+03 |  11.88%| unknown
